Filename	WC	Honor	HonLoss	Wrongdo	Harm	aggress	Ach/Stat	Achieve	Status	Vir Beh	Mor/Int	Faith	manners	GenPrev	Sex	PubIm	Prev	strbrav	genhon	HonEmo	PosEmo	NegEmo	Context	Soc	Gender	Family	govnat	self	milit	business	ethnic
Clarion Edit New.txt	5761	14.93	1.93	0.42	1.41	0.12	3.89	2.24	1.68	1.61	0.76	0.64	0.33	2.33	0.17	1.13	0.78	0.19	0.02	0.30	0.14	0.16	5.07	0.82	0.16	1.58	1.22	0.30	0.28	0.42	0.31
Clarion Edit New.txt	5748	14.87	2.00	1.03	0.92	0.14	2.70	1.18	1.53	2.37	1.18	0.97	0.57	2.30	0.07	0.97	0.80	0.50	0.09	0.23	0.12	0.10	5.38	0.87	0.23	0.94	1.95	0.37	0.05	0.45	0.38
Clarion Edit New.txt	5735	16.62	2.20	0.99	1.05	0.19	4.29	2.51	1.99	3.35	1.80	1.03	0.84	2.60	0.14	0.92	1.33	0.12	0.02	0.40	0.17	0.23	3.96	0.80	0.23	0.82	0.73	0.45	0.47	0.35	0.09
Clarion Edit New.txt	5731	16.09	2.01	0.63	1.20	0.17	4.26	2.53	1.74	2.29	1.36	0.58	0.56	1.94	0.21	0.99	0.63	0.14	0.00	0.33	0.14	0.19	5.44	0.85	0.35	1.62	0.85	0.26	0.72	0.42	0.33
Clarion Edit New.txt	5767	15.28	1.77	0.92	0.73	0.14	4.01	1.96	2.10	2.32	1.23	0.69	0.42	2.81	0.14	1.40	1.04	0.26	0.02	0.21	0.09	0.12	4.28	0.95	0.24	0.94	0.90	0.55	0.40	0.26	0.07
Clarion Edit New.txt	5739	16.12	2.46	1.29	1.20	0.00	4.48	2.82	1.67	1.92	1.05	0.52	0.45	2.27	0.10	1.13	0.84	0.23	0.05	0.33	0.21	0.12	4.91	0.78	0.14	1.41	1.20	0.37	0.63	0.26	0.10
Clarion Edit New.txt	5731	13.51	2.02	0.68	1.22	0.12	3.11	1.55	1.61	1.62	1.19	0.21	0.35	1.71	0.05	0.63	0.65	0.40	0.02	0.17	0.07	0.10	5.03	0.84	0.16	0.91	1.69	0.56	0.40	0.33	0.10
Clarion Edit New.txt	5770	13.36	1.49	0.54	0.81	0.16	3.83	1.70	2.13	1.94	1.44	0.24	0.43	2.37	0.00	1.09	1.07	0.14	0.00	0.05	0.05	0.00	3.80	0.81	0.24	0.83	1.01	0.38	0.03	0.42	0.05
Worcester Edit New.txt	6664	13.27	1.17	0.65	0.45	0.09	4.28	2.93	1.38	2.55	1.88	0.51	0.44	2.07	0.03	0.93	0.72	0.39	0.00	0.14	0.12	0.02	3.17	0.69	0.03	0.48	1.14	0.17	0.09	0.60	0.03
Worcester Edit New.txt	6727	14.72	1.66	0.61	1.10	0.03	4.43	2.76	1.78	2.33	1.65	0.51	0.48	2.20	0.15	0.91	0.86	0.28	0.09	0.24	0.13	0.10	4.09	0.74	0.12	0.82	1.03	0.46	0.15	0.61	0.15
Worcester Edit New.txt	6675	13.53	1.62	0.67	0.93	0.04	3.88	2.13	1.87	2.19	1.53	0.37	0.49	2.11	0.16	0.81	0.84	0.24	0.01	0.18	0.07	0.10	3.64	0.67	0.10	0.72	0.96	0.37	0.19	0.57	0.13
Worcester Edit New.txt	6706	13.93	2.25	1.10	1.01	0.15	3.39	1.61	1.80	2.01	1.33	0.49	0.36	1.73	0.12	0.70	0.66	0.33	0.09	0.34	0.16	0.18	4.37	0.52	0.25	1.13	1.22	0.42	0.39	0.31	0.15
Worcester Edit New.txt	6651	14.81	1.92	0.65	1.23	0.08	3.67	2.14	1.55	1.82	1.14	0.42	0.44	2.18	0.08	0.96	0.78	0.38	0.06	0.26	0.14	0.12	5.16	0.84	0.60	1.04	1.23	0.33	0.71	0.26	0.18
Worcester Edit New.txt	6700	11.22	1.39	0.51	0.78	0.12	3.12	1.91	1.24	1.52	1.03	0.24	0.36	2.04	0.10	0.93	0.75	0.24	0.07	0.21	0.12	0.09	3.04	0.66	0.13	0.67	0.72	0.27	0.16	0.40	0.03
Worcester Edit New.txt	6697	13.75	1.70	0.57	1.06	0.09	3.79	2.18	1.66	2.18	1.19	0.67	0.43	1.90	0.04	0.75	0.85	0.25	0.09	0.28	0.15	0.13	4.02	0.84	0.63	0.76	0.99	0.31	0.07	0.31	0.12
Worcester Edit New.txt	6675	13.66	1.75	0.49	1.18	0.13	4.51	2.82	1.71	2.04	1.12	0.51	0.52	1.81	0.10	0.79	0.61	0.39	0.01	0.22	0.09	0.13	3.52	0.54	0.19	0.75	0.93	0.48	0.19	0.28	0.16
Worcester Edit New.txt	6681	14.02	1.41	0.57	0.72	0.16	4.12	2.56	1.65	1.86	1.35	0.22	0.45	1.84	0.16	0.69	0.76	0.28	0.03	0.43	0.33	0.10	4.49	0.57	0.15	0.78	1.03	0.31	1.00	0.40	0.22
Worcester Edit New.txt	6698	13.75	2.05	0.90	0.96	0.22	3.87	2.54	1.40	1.94	1.49	0.19	0.40	2.33	0.21	1.03	0.90	0.24	0.03	0.31	0.09	0.22	3.46	0.49	0.10	0.64	1.06	0.43	0.16	0.25	0.24
